Partition,PDB,pKd
5,2gh9,6.00
5,2wf5,6.00
5,3ucj,6.00
5,1tcw,6.02
5,5er1,6.02
5,1t7d,6.03
5,1eoc,6.05
5,4ara,6.05
5,2fxs,6.06
5,2w5g,6.07
5,2w7y,6.08
5,1o2n,6.09
5,1lgt,6.10
5,2p7a,6.10
5,4gah,6.10
5,2qx0,6.11
5,2wvt,6.12
5,1u0g,6.15
5,3m89,6.16
5,3hk1,6.17
5,1iy7,6.19
5,3u5l,6.19
5,3p9t,6.20
5,3sug,6.21
5,3p2e,6.22
5,3s3v,6.23
5,3rf4,6.25
5,2j94,6.27
5,2aog,6.28
5,1d4p,6.30
5,2q89,6.30
5,1nja,6.31
5,4der,6.31
5,6upj,6.32
5,1w9v,6.34
5,2j7f,6.35
5,3fvh,6.35
5,3t6b,6.36
5,2zdk,6.37
5,1lol,6.39
5,1usk,6.40
5,3k1j,6.40
5,1syh,6.41
5,2zdm,6.41
5,3d2e,6.42
5,3v3l,6.43
5,4ea2,6.44
5,2xd9,6.46
5,3s78,6.47
5,3g3r,6.48
5,3nw3,6.49
5,2jdh,6.51
5,4fut,6.51
5,1qy1,6.52
5,2oxy,6.52
5,3hzv,6.52
5,2p7g,6.53
5,2jdk,6.54
5,3sr4,6.54
5,1yc4,6.55
5,2zq2,6.56
5,3ove,6.57
5,2p7z,6.58
5,1fiv,6.59
5,2v7d,6.59
5,1jzs,6.60
5,2wly,6.60
5,4h75,6.60
5,2jgs,6.62
5,2x7t,6.63
5,2b1g,6.64
5,2j75,6.65
5,1o3p,6.66
5,3pwd,6.66
5,2iwx,6.68
5,2jew,6.69
5,1eld,6.70
5,2eum,6.70
5,3hzk,6.70
5,1rbp,6.72
5,3gst,6.72
5,1wvj,6.73
5,2zgx,6.74
5,3ikd,6.75
5,1ony,6.77
5,2rcb,6.79
5,2xhm,6.80
5,1drk,6.82
5,1o38,6.82
5,2pym,6.82
5,2zq0,6.82
5,2xnb,6.83
5,1g30,6.85
5,1xk9,6.85
5,3aid,6.86
5,3tmk,6.87
5,1jev,6.89
5,2e92,6.89
5,3l4x,6.89
5,3evd,6.91
5,1swr,6.92
5,3r1v,6.92
5,1gj8,6.96
5,3pn1,6.96
5,3slz,6.99
5,1fpc,7.00
5,2wzf,7.00
5,3l4y,7.00
5,4fcq,7.00
5,3cdb,7.02
5,2vwm,7.03
5,2bq7,7.05
5,3i4y,7.05
5,3po6,7.06
5,3u7k,7.07
5,3f7h,7.09
5,2wjg,7.10
5,1b05,7.12
5,2pov,7.12
5,5upj,7.12
5,2pv1,7.14
5,1fch,7.15
5,2qnn,7.15
5,1g36,7.17
5,2q63,7.18
5,1q7a,7.19
5,2pow,7.20
5,3mz6,7.20
5,4av5,7.21
5,2epn,7.22
5,3k99,7.22
5,3f8e,7.23
5,2psv,7.24
5,4ha5,7.24
5,3gcs,7.25
5,2xib,7.26
5,1hii,7.28
5,2qhz,7.28
5,3sbh,7.28
5,1o3i,7.30
5,2uxi,7.30
5,3r16,7.30
5,3uod,7.31
5,3kv2,7.32
5,2gv6,7.34
5,1ttm,7.35
5,1cnx,7.37
5,1qf0,7.38
5,3p5l,7.39
5,1oar,7.40
5,2er9,7.40
5,3rlq,7.40
5,3s5y,7.41
5,3ryy,7.42
5,1qb9,7.44
5,2r38,7.44
5,1sqo,7.46
5,3fed,7.46
5,3oe4,7.47
5,2qhy,7.48
5,3m6r,7.49
5,1ivp,7.52
5,1uml,7.52
5,3l4u,7.52
5,1k1j,7.55
5,2xj1,7.55
5,3cct,7.56
5,2avs,7.57
5,3q6w,7.57
5,3sap,7.59
5,3fh7,7.60
5,3p58,7.60
5,1yqy,7.62
5,3be9,7.62
5,1c1v,7.64
5,3hl7,7.64
5,1i8i,7.66
5,4b74,7.66
5,1t4v,7.68
5,3f8c,7.68
5,1gno,7.70
5,1s39,7.70
5,2ves,7.70
5,3g0e,7.70
5,4e7r,7.70
5,1cnw,7.72
5,1f0s,7.74
5,1rd4,7.74
5,4auy,7.74
5,2jh6,7.77
5,3mi2,7.77
5,1x8t,7.80
5,3czv,7.80
5,1njs,7.82
5,2o4n,7.82
5,3n2p,7.82
5,3ttn,7.84
5,1lbf,7.85
5,3dd8,7.85
5,1gj7,7.89
5,3hig,7.89
5,1ajx,7.91
5,3eft,7.92
5,3daz,7.93
5,4b7j,7.95
5,1qxl,7.96
5,3a5y,7.96
5,3r4p,7.96
5,1apw,8.00
5,1qin,8.00
5,1ypg,8.00
5,2xbw,8.00
5,3fur,8.00
5,3oy0,8.00
5,1v7a,8.01
5,1hih,8.05
5,2xc4,8.05
5,3oys,8.05
5,3ifl,8.08
5,1erb,8.10
5,1ype,8.10
5,3kr8,8.10
5,3fv2,8.11
5,1yqj,8.14
5,1fkh,8.15
5,2q1q,8.15
5,3g08,8.16
5,2v59,8.19
5,1efy,8.22
5,2zcs,8.22
5,3e5a,8.23
5,1g4o,8.25
5,1wuq,8.27
5,1qbq,8.30
5,2v95,8.30
5,3hvi,8.30
5,2yi7,8.32
5,3npc,8.34
5,1d4j,8.36
5,2nmz,8.37
5,3qkd,8.38
5,1fd0,8.40
5,1w5x,8.40
5,2ovy,8.40
5,2zda,8.40
5,3str,8.40
5,1g48,8.41
5,1i9o,8.42
5,2vc9,8.44
5,1i9l,8.48
5,2r5p,8.48
5,1ec0,8.49
5,7upj,8.49
5,1nfx,8.52
5,2oc2,8.52
5,2wn9,8.52
5,3ttm,8.52
5,3ejp,8.55
5,3ejq,8.57
5,1bwa,8.60
5,2cej,8.62
5,1g45,8.64
5,3hkw,8.64
5,3nox,8.66
5,1hfs,8.70
5,1pxo,8.70
5,2f8g,8.70
5,2pcp,8.70
5,2y5f,8.70
5,3eqr,8.70
5,3s73,8.70
5,3p8o,8.72
5,2wtv,8.74
5,1qft,8.77
5,3qdd,8.77
5,3d1z,8.80
5,2zcq,8.82
5,1d4i,8.85
5,2xej,8.87
5,2y7x,8.89
5,1ec1,8.92
5,1j37,8.96
5,3rz7,8.96
5,1k27,9.00
5,2j4i,9.00
5,3jrx,9.00
5,4h3f,9.00
5,3m37,9.04
5,1s63,9.05
5,2qd8,9.07
5,3ffg,9.08
5,2w8y,9.09
5,3lpk,9.10
5,1ta6,9.13
5,3ibu,9.15
5,2xy9,9.19
5,1d4k,9.22
5,1uho,9.22
5,2o4l,9.22
5,1sdt,9.27
5,3kdc,9.28
5,2ayr,9.29
5,3fv1,9.30
5,2aqu,9.32
5,3nuj,9.39
5,1pme,9.40
5,3ekx,9.41
5,2yki,9.46
5,2p4s,9.51
5,3fv3,9.52
5,4afh,9.54
5,4ax9,9.57
5,3s54,9.64
5,1df8,9.70
5,3sm2,9.70
5,3dk1,9.74
5,1bnt,9.80
5,2xef,9.84
5,1e66,9.89
5,3ies,9.92
5,2xmy,9.96
5,1flr,10.00
5,1n4k,10.05
5,2o4j,10.10
5,2qi3,10.20
5,1c70,10.30
5,3i6o,10.35
5,2o4k,10.46
5,1b8n,10.52
5,4djp,10.55
5,3lzv,10.59
5,1dif,10.66
5,3myg,10.70
5,3gi4,10.80
5,2pk6,10.89
5,3lzs,10.96
5,1lor,11.06
5,1mq6,11.15
5,1hpx,11.26
5,3st5,11.30
5,2i0a,11.40
5,3qaa,11.54
5,2i4x,11.72
